Mood,Language,Song Title,Artist(s),Spotify Link
Happy,English,Can't Stop the Feeling!,Justin Timberlake,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc?si=263e43dd3b514d21
Happy,English,Uptown Funk,"Mark Ronson, Bruno Mars",https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS?si=62051290649c4329
Happy,English,Shake It Off,Taylor Swift,https://open.spotify.com/track/0cqRj7pUJDkTCEsJkx8snD?si=4a44ddf6cd1e4256
Happy,English,On Top of the World,Imagine Dragons,https://open.spotify.com/track/213x4gsFDm04hSqIUkg88w?si=75108b97743942f8
Happy,English,Best Day of My Life,American Authors,https://open.spotify.com/track/5Hroj5K7vLpIG4FNCRIjbP?si=31f6ab9be2b14a40
Happy,English,Sugar,Maroon 5,https://open.spotify.com/track/5d6Mjuu2uCGRPYpFjGpCX5?si=d4bdf445cedf4c42
Happy,English,Good Life,OneRepublic,https://open.spotify.com/track/6OtCIsQZ64Vs1EbzztvAv4?si=7ba074ccf40d44a2
Happy,English,Hey Ya!,OutKast,https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM?si=4574fc667fc04728
Happy,English,I Gotta Feeling,The Black Eyed Peas,https://open.spotify.com/track/4kLLWz7srcuLKA7Et40PQR?si=5740fd9e5d6a4aa7
Happy,English,Don't Stop the Music,Rihanna,https://open.spotify.com/track/0ByMNEPAPpOR5H69DVrTNy?si=6624845673ba45d0
Happy,English,Viva La Vida,Coldplay,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b?si=7a10fd888a8f4b51
Happy,English,Stronger,Kanye West,https://open.spotify.com/track/0j2T0R9dR9qdJYsB7ciXhf?si=1ca8f42d705143a5
Happy,English,Walking on Sunshine,Katrina and the Waves,https://open.spotify.com/track/05wIrZSwuaVWhcv5FfqeH0?si=6b770d4831b64576
Happy,English,Firework,Katy Perry,https://open.spotify.com/track/1mXuMM6zjPgjL4asbBsgnt?si=b781e376ee8d466a
Happy,English,Dynamite,BTS,https://open.spotify.com/track/72IwoG8tqvIWV10IHjpNNA?si=d5f0ea0414a74fbd
Happy,English,Party Rock Anthem,LMFAO,https://open.spotify.com/track/7mitXLIMCflkhZiD34uEQI?si=4f4a4ec0a1494bf4
Happy,English,Shut Up and Dance,WALK THE MOON,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA?si=caed3dbb5e754045
Happy,English,We Found Love,"Rihanna, Calvin Harris",https://open.spotify.com/track/6qn9YLKt13AGvpq9jfO8py?si=8c3a5c97203849d4
Happy,English,Dancing Queen,ABBA,https://open.spotify.com/track/0GjEhVFGZW8afUYGChu3Rr?si=c3ee0e7c08524a55
